NCT Number,Study Title,Brief Summary,Conditions
NCT01336673,Glucophage XR® Observational Study,"This is a non-interventional, prospective study where no visits or additional interventions to the daily practice of the physician will be performed. Glucophage XR® has recently been available in Thailand for the treatment of patients with type 2 diabetes. A prospective observational study will be valuable to provide information on the day-to-day experience of using Glucophage XR® in the management of this patient population. The data may provide an insight into the use of Glucophage XR® in routine clinical practice in Thailand.",Diabetes Mellitus Type 2|GI Side Effect
NCT03679273,Nutritional Supplement on Wound Healing in Diabetic Foot,"Diabetic foot ulcer (DFU) is the leading cause of non-traumatic limb loss in adult worldwide. One of the major causes of limb loss in patients with DFU is poor wound healing. It is known that nutrition plays a key role in wound healing, not only because of the required calories, but more importantly for collagen remodeling by specific amino acids (arginine, glutamine, and β-hydroxy-β-methylbutyrate).Nevertheless, few studies have investigated nutritional supplements in patients with poor wound healing of DFU. Difficulties in assessing the severity of a wound and poor adherence to drug and food supplements at home may be important factors for the negative results shown in a most recent prospective randomized controlled trial. The diabetic foot center in Chang Gung Memorial hospital has extensive experience in caring for patients with limb-threatening DFU and we recently reported that poor nutritional status in our patients correlated to poor treatment outcomes. The aim of this study is to evaluate the clinical efficacy and possible molecular mechanisms in nutritional treatment for limb-threatening DFU. A total of 70 patients will be enrolled and randomized into study and control groups. All subjects will receive standard care. Additional amino acid supplements containing arginine, glutamine, and β-hydroxy-β-methylbutyrate or a control (high protein formula powder) will be given orally twice a day for 21 days, and the percentage change in wound size will then be measured. Complete healing time, recurrence or major adverse cardiac events will be recorded during one year of follow up. Data on wound size, nutritional status, and levels of matrix metallopeptidase (MMP)-2, MMP-9, nutrient molecules (measured by ABSOLUTE/DQ P180 KIT (LC MS/MS) will be recorded before and after the nutritional supplementation. In addition, the pioneer factor forkhead box protein A2 (FOXA2) that binds native chromatin and bookmarks genomic regions for transcriptional activity may play a role in nutritional supplements in acute stressed diabetic patients. Therefore, we intend to conduct a pilot study on the for FOXA2 gene in maintaining glucose homeostasis in diabetic foot patients after nutritional interventions.",Diabetic Foot
NCT02390973,Surgery Versus Best Medical Management for the Long Term Remission of Type 2 Diabetes and Related Diseases (REMISSION),"Bariatric surgery procedures induce weight loss through restriction and/or malabsorption. The mechanisms underlying type 2 diabetes remission and others metabolic improvements after Roux-en-Y Gastric Bypass (RYGB), sleeve gastrectomy (SG) or biliopancreatic diversion with duodenal switch (BPD-DS) have not yet been formally studied. The investigators propose a longitudinal study with the overall objective of measuring the long-term impact of these three bariatric surgeries (RYGB, SG, BPD-DS) on metabolic, renal and cardiovascular fate in patients with type 2 diabetes. The investigators overall hypothesis is that some bariatric procedures generate hitherto unrecognized effects on many disease-related outcomes, which greatly contributes to their beneficial impact in diabetic patients. The investigators propose 3 specific aims: 1) to establish the long term effect of the three surgeries on the metabolic recovery and quality of life in groups of diabetic patients treated with insulin, hypoglycemic agents or diet; 2) to establish the long term impact of the three surgeries on renal and cardiovascular functions in subgroup of patients with these conditions; 3) to compare metabolic impact of surgeries to those of best medical care for diabetes in a non-surgical control group. For most severely obese patients, lifestyle interventions, perhaps effective in inducing short-lived weight losses, are ineffective for long-term weight loss maintenance and durable metabolic recovery. The increasing popularity of obesity surgeries calls for a better understanding of the underlying mechanisms. This is especially true and urgent when considering that knowledge on the relative impact of each procedure (i.e. SG vs. RYGB and BPD-DS) in resolving T2D is still limited. Better knowledge on each of the procedures will allow stronger scientific rationale for selecting the right surgery for the right patient and improve care for the severely obese individual.",Bariatric Surgery Candidate|Diabetes
NCT05214573,Second-line Therapies for Patients with Type 2 Diabetes and Moderate Cardiovascular Disease Risk,"We will use the target trial framework for causal inference to conduct this observational retrospective cohort study that uses claims data of adults with type 2 diabetes (T2D) included in the de-identified datasets of OptumLabs Data Warehouse (OLDW) and Medicare fee-for-service.In Aim 1, we will emulate a target trial comparing the effectiveness of glucagon-like peptide-1 receptor agonists (GLP-1RA), sodium-glucose cotransporter 2 inhibitors (SGLT2i), dipeptidyl peptidase-4 inhibitors (DPP-4i), and sulfonylureas (SU) in adults with T2D at moderate risk of cardiovascular disease (CVD) with regard to major adverse cardiovascular events (MACE), expanded MACE, microvascular complications, severe hypoglycemia, and other adverse events.In Aim 2, we will compare these four drug classes in the same population of adults with T2D included in OLDW and Medicare fee-for-service data with respect to a set of composite outcomes identified by a group of patients with T2D as being most important to them. Specifically, in Aim 2A, we will prospectively elicit patient preferences toward various treatment outcomes (e.g., hospitalization, kidney disease) using a participatory ranking exercise, then use these rankings to generate individually weighted composite outcomes. Then, in Aim 2B, we will estimate patient-centered treatment effects of four different second-line T2D medications that reflect the patient's value for each outcome.In Aim 3, we will compare different medications within each of the four therapeutic classes with respect to MACE.",Type 2 Diabetes|Cardiac Disease
NCT05702931,Semaglutide Treatment for Hyperglycaemia After Renal Transplantation,"Background: Post-transplant hyperglycaemia occurs frequently in renal transplant recipients within the first two weeks after transplantation. Standard-of-care is primarily based on insulin treatment with the adherent risk of hypoglycaemia and weight gain. Semaglutide produces an effective lowering of plasma glucose in diabetes patients with chronic kidney disease (CKD) and leads to a reduction in weight and the incidence of hypoglycaemia. The efficacy of semaglutide is untested in renal transplant recipients, and safety concerns remain, primarily on renal graft function.Objectives: The primary objective is to establish whether tablet semaglutide (Rybelsus) compared with placebo, both as add-on to standard-of-care, is non-inferior in regulating plasma glucose in patients with hyperglycaemia after renal transplantation. Secondary objectives aim to evaluate the effect of tablet semaglutide on renal graft function, weight, use of insulin, cardiovascular parameters and safety parameters (plasma semaglutide concentration, gastrointestinal side effects, dose of immunosuppressants).Design: An investigator-initiated, placebo-controlled, double-blinded, parallel-group, randomised trial.Population: Patients (n = 104) with post-transplant hyperglycaemia and an estimated glomerular filtration rate (eGFR) \> 15 ml/min/1.73 m2.Methods: Participants diagnosed with post-transplant hyperglycaemia, 10 to 15 days post-transplant, will be randomised 1:1 to either 14 weeks of tablet semaglutide once daily or placebo both as add-on to standard glucose-lowering therapy. Participants will maintain weekly contact with the clinic during the first five weeks and at two to four weeks intervals during the remaining study period. During the trial, each patient will be monitored according to blood laboratory values with safety assessed at every visit by a nephrologist. Pre-prandial plasma glucose will be measured in the morning and evening to adjust glucose-lowering therapy after consultation with an endocrinologist. Double blinded continuous glucose monitoring (CGM) will be performed for 10-14 days from baseline and at weeks 5, 9, and 13.Primary endpoint:- Mean sensor glucose (mmol/L) evaluated by CGMKey secondary endpoints:* Incidence of hypoglycaemia* Body weight (kg)* Creatinine (μmol/L)* Daily insulin dose (IE per day)* Plasma concentration of semaglutide (nmol/L)* Blood concentrations of cyclosporine and tacrolimus (μg/L)",Hyperglycemia|Renal Transplant Complication Primary Non-Function|Diabetes
NCT05890131,Implementation of SGLT-2 Inhibitors in Patients With Heart Failure Through a New Digital Strategy,"The implementation of new medical therapies and guidelines, is a long and complex process that takes up to 10 years on average. This prolonged process is a global challenge and is mainly due to the complexity of cross-institutional patient care, involving primary care, out-patient clinics, nursing homes and patient associations.The main objective of this clinical trial is to determine whether a new digital strategy that employs official digital letters to inform and invite patients to evaluate their eligibility for new therapies, specifically the sodium-glucose co-transporter-2 (SGLT-2) inhibitor for heart failure patients, can facilitate and optimise the implementation. The aim is to increase the number of eligible patients with heart failure who start taking SGLT-2 inhibitors and reduce the time it takes to initiate treatment compared to the current process. Ultimately, this approach may improve patient outcomes.",Heart Failure
NCT06495931,"Study on Drug Interaction of HRS-1780 Tablets, Henagliflozin Tablets, Metformin Tablets and HRS-7535 Tablets in Healthy Human","This study was designed as a single-center, single-arm, open, fixed-sequence, self-controlled trial in healthy subjects.",Type 2 Diabetes Mellitus
NCT06997731,Clinical Efficacy of Local Delivery of Minocycline and Hyaluronan Gel to Treat Periodontitis in Diabetic Patients,The goal of this clinical trial is to investigate the local delivery of minocycline gel 2% and 0.2% hyaluronan gel to treat periodontitis in diabetic patients as adjunctive to subgingival instrumentation. The main question it aims to answer is: Does local use of minocycline gel and hyaluronan gel as an adjunct to SRP have resulted in significant additional improvement in the clinical conditions of stage II grade B periodontitis patients when compared with SRP alone?,Periodontitis and Diabetes|Periodontitis
NCT04540731,Multicenter Registry of Nonalcoholic Fatty Liver Disease,"Non-alcoholic fatty liver disease (NAFLD) is the most prevalent liver disease worldwide affecting as much as 25% of the world's population. The spectrum of NAFLD ranges from non-alcoholic fatty liver to non-alcoholic steatohepatitis (NASH), the latter being associated with a progressive course towards fibrosis and a higher risk of developing cirrhosis and hepatocellular carcinoma. Patients with type 2 diabetes are particularly at higher risk of developing fibrosis and advanced liver disease. Since NASH and its consequences will only occur in a minority of patients, it is of paramount importance to identify this population to offer them proper care.It is well known that there is a lack of awareness about the potential consequences of NAFLD, not only in the general population but also in the medical community. Patients with NAFLD are frequently lost during follow up and, additionally, approach to these patients is sub-optimal and heterogeneous among physicians.An attractive approach to applying best medical practices to patients with NAFLD is to generate a multicentre registry. Clinical registries comprise a set of systematic collected and stored data focused on a specific condition. The information stored in a registry provides relevant information about a disease and, through a process of error detection, ensures data quality and reliability. A NAFLD registry is an essential tool for providing relevant information such as epidemiological aspects of the disease, outcomes, and treatment effectiveness. As far as we concern, this would be the first registry of NAFLD in our region, a region where the disease behaves in a more aggressive way in comparison with other regions and hemispheres.By generating this registry, we are confident that we will obtain objective information on the characteristic of patients with NAFLD in our region, not only of the disease characteristics but also of social determinants that might influence disease outcomes. By being a prospective study, it allows an adequate patient follow up.",Non-Alcoholic Fatty Liver Disease
NCT00645827,Use of an Insulin Infusion Conversion Equation (IICE) to Control Blood Glucose in Hospitalized Patients,"Insulin infusions are commonly used in hospitalized diabetics to control blood sugar, and they are effective. However, insulin infusions require the use of limited resources. Insulin infusions are therefore changed to insulin shots as a patient recovers. Once an insulin infusion is stopped and shots are started, blood sugar control is harder to maintain. This is, in part, because physicians have different ideas on how to dose insulin shots in hospitalized patients. A math equation has been developed by the research staff that attempts to predict the effective doses of insulin shots in patients whose insulin infusion have just been stopped. The math equation was developed for patients with type 2 diabetes mellitus. In this study, all patients will be treated with the same type of insulin shots, with doses of the insulin shots chosen either by the math equation or by the judgment of the patient's physician. The study will then follow blood sugar values for 24 hours to see if the math equation is effective. If the equation is proven to be effective, a new tool will exist for physicians to determine the best dose of insulin shots for type 2 diabetics. Such a tool would, in turn, allow for widespread use of insulin infusions to determine a patient's insulin needs before discharge from the hospital. Blood sugar control for type 2 diabetics that are inpatient or outpatient would improve as a result, with potentially far reaching public health benefits.","Glucose, Blood"
NCT01954927,Pain Management in Children and Young Adults With Sickle Cell Disease,"This is a phase II double-blind placebo-controlled clinical trial evaluating the effect of gabapentin when added to standard pain management for patients with sickle cell disease experiencing acute pain crisis in the ambulatory care setting.Sickle cell pain is different for every patient. Some patients get complete relief from routine pain medicines, and others need more time or more doses of pain medicines before the pain goes away completely. It is known that humans have many types of pain, including something called neuropathic pain. Neuropathic pain in other conditions (such as diabetes) has been treated successfully with a medicine called gabapentin. The investigators in this study suspect that some sickle cell pain is a combination of pain types. They would like to see if adding gabapentin to the usual pain medicines makes pain go away faster or more completely.Primary Objective:* To assess the analgesic efficacy of gabapentin vs. placebo for pain during vaso-occlusive crisis (VOC) in participants with sickle cell disease (SCD). A response to study drug will be defined by a decrease in pain score of ≥ 33% between presentation to the acute care setting and assessment at 3 hours post administration of study drug.Secondary Objective:* To compare the total morphine equivalent dose (mg/kg) used to control pain during VOC between presentation to the acute care setting and assessment at 3 hours post administration of study drug in the gabapentin vs. placebo groups.",Sickle Cell Disease
NCT00493727,Use of Mucomyst to Ameliorate Oxidant Stress in Diabetics With Proteinuria,"The study will look at the effect of 30 days of treatment of 15 diabetics with proteinuria with N-acetylcysteine ( Mucomyst ) at a dose of 1 gm twice a day by mouth. The primary outcome that will be measured is change in the oxidant stress as measurable by changes in the serum level of isoprostane, Glutathione peroxidase, aconitase and Total oxidant stress. Secondary outcomes measured will be changes in proteinuria and kidney function as measured by spot urine pr/cr and estimated GFR by MDRD formula.",Diabetes|Proteinuria
NCT03251027,Intensity-Modulated Stereotactic Radiation Therapy in Treating Patients With Grade II-IV Glioma,"This phase II trial studies how well intensity-modulated stereotactic radiation therapy works in treating patients with grade II-IV glioma. Stereotactic radiosurgery is a specialized radiation therapy that delivers a single, high dose of radiation directly to the tumor and may cause less damage to normal tissue.",Glioblastoma|WHO Grade II Glioma|WHO Grade III Glioma
NCT01657227,Tertiary Prevention in Type II Diabetes Mellitus in Canary Islands Study,"Objective:* To improve health outcomes of patients with type 2 diabetes mellitus (T2DM) by influencing disease self-management through lifestyle modification and by helping primary care professionals to improve health care provided to patients.* To assess the effectiveness and cost-effectiveness of two complex interventions (education and behavioural modification, independently and conjointly, for primary health care teams (PHCT) and patients and their relatives) to improve the health results in people with T2DM.Methodology:Design: Randomized clinical trial. Setting: Basic healthcare district in Canary Islands. Spain. Subjects: Patients with T2DM, 18-65 years old, without complications. Main measures: HbA1c, rate of patients with properly controlled T2DM. Sample: 2328 patients, 582 per arm. Intervention: G1: Interventions on the patients: Educational and habit modification group program. G2: Intervention on the PHCT: a) Educative intervention to improve the knowledge about the disease and their abilities; b) Computer-based clinical decision support system; c) Feedback of results. G3: Interventions on the patients and the PHCT. G4: Control group. Patients receive only the usual care.",Type 2 Diabetes Mellitus
NCT00212173,Adolescent Weight Management Study,"Protocol #1:The goals of this study was to examine whether increased weight loss in obese adolescent is induced when the weight loss medication sibutramine is added to a family-based, behavioral weight control program.Protocol #2: This study aims to improve the behavioral treatment of obesity during adolescence. A behavioral program using regular foods will be compared to a behavioral program using a structured meal plan (a portion-controlled approach with liquid-meal replacements \[nutritional supplements\]). This structured approach may be better for the promotion of weight loss compared to a diet of regular foods.",Protocol #1:Behavioral Therapy + Placebo or Sibutramine|Protocol #2: Behavioral Therapy + Meal Replacement or Conventional Food
NCT01505673,Adding Liraglutide to High Dose Insulin: Breaking the Cycle,"The purpose of this study is to evaluate whether the addition of liraglutide 1.8 mg/day to a high-dose insulin regimen (\>1.8 units/kg/day) in patients with uncontrolled (HbA1c \>7.5%) type 2 diabetes mellitus will improve blood sugar control.It also evaluates the effect of liraglutide on liver and pancreatic fat content, explores the mechanism of blood sugar improvement by assessing weight and pancreatic hormone release, and assesses blood pressure, lipid profile, and liver function. Finally it will look at patient quality of life and safety.",Type 2 Diabetes Mellitus|Obesity
NCT03135873,Mastiha Treatment for Obese With NAFLD Diagnosis,"NAFLD/NASH is one of the most common complications of obesity and diabetes mellitus in Western populations affecting approximately 50% of diabetics and 76% of obese patients. Due to the lack of specialized treatment, many new efforts focus on exploring alternative, non-pharmacologic means for managing the disease, including bioactive substances in fruits, vegetables and plants or their products. Mastiha, a natural product of Greece, consists of a great variety of bioactive phytochemical compounds and demonstrates antioxidant, antiinflammatory, antimicrobial and lipid lowering properties. Taking into account the contribution of oxidative stress and inflammation to NAFLD/NASH pathogenesis, the hypothesis that Mastiha could improve disease aspects is investigated. Thus, design of a multicenter (4 centers across Europe), randomized, double-blind, placebo controlled (parallel arm) clinical trial to assess the effect of Mastiha on clinical course of NAFLD/NASH patients has been conducted. The effectiveness of the proposed intervention will be evaluated via clinical and laboratory markers. MAST4HEALTH aims also at exploring gene-diet interactions and at correlating genetic and epigenetic markers with metabolomic and intestinal microbiota profiles pre- and post- intervention. To this end, patients with confirmed NAFLD/NASH will be allocated to either verum or placebo group. Duration of the intervention will be 6 months and the dosage applied will be 2.1 g daily. NAFLD/NASH diagnosis will be confirmed by MS scanning and the sensitive LiverMultiScan technique. Anthropometric, demographic data, body composition, dietary habits, physical activity, family history and smoking status will be assessed pre- and post- intervention. Biochemical profile, oxidative stress and inflammation, as well as epigenetic and metabolomic profiles will be assessed in blood samples, while the metagenome profile will be examined in stools. Both groups will receive counselling to allow for body weight regulation up to 5%. Compliance will be assessed monthly and side effects will be reported.",Non Alcoholic Fatty Liver Disease
NCT05145673,Effect of Aqueous Cinnamon Extract on the Postprandial Glycaemia Levels in Type 2 Diabetes Mellitus,"The type 2 diabetes mellitus is a chronic disease and it is a highly prevalent globally. Cinnamon is a spicy used on the traditional cuisine, which have as been associated with beneficial effects on postprandial blood glucose levels (BGL). The aim of the present study was to investigate the effect of cinnamon tea (6g C. burmannii/100mL) on postprandial glycaemia in type 2 diabetic adults.Following ethical committee approval, thirty-six subjects were selected and randomly allocated in 2 groups (n=18): cinnamon group, which was administrated OGTT (oral glucose tolerance test) followed by cinnamon tea; control group, which was administrated only OGTT. At baseline, anthropometric data, medical condition and pharmacological therapy were collected. A 24-hour dietary recall was taken preceding each intervention. Food Processor SQL (version 10.5.9) program was used to analyze the food nutritional composition. Chemical analysis was performed for total phenols determinations (adapted from Prabha et al) and antioxidant activity for FRAP and for DPPH tests (adapted from K. Thaipong et al.) Statistical analysis was performed using SPSS Statistics program. Data are mean±SEM.",Type 2 Diabetes
NCT05334173,Gastric Bypass With Different Lengths of the Bilipancreatic Limb,"Laparoscopic Roux-en-Y Gastric Bypass (LRYGB) has been the most performed bariatric surgical intervention until a few years ago, due to its good results in terms of weight loss and remission of comorbidities such as hypertension, type 2 diabetes mellitus, dyslipidemia and obstructive sleep apnea syndrome. However, more than 25% of patients do not obtain the expected result.There is no uniform technique to perform a LRYGB, but traditionally it was constructed using a long alimentary limb (AL) and a short biliopancreatic limb (BPL). There is no current consensus on the ideal length of the LRYGB limbs.The distal gastric bypass at the expense of a longer biliopancreatic limb (LBPL-GB) could induce more excess of weight loss (EWL%), but with possible protein malnutrition depending on the length of the remaining common limb.The aim of this study is compare a LBPL-GB (BPL 150cm, AL 70cm) with LAL-GB (BPL 70cm, AL 150cm).PRIMARY OUTCOME: to evaluate if there are differences in weight loss. SECONDARY OUTCOME: to assess whether there are differences in both groups in remission of the most common comorbidities and in quality of life.DESIGN: multicenter, prospective, randomized study in blocks (1:1), blinded for the patient and to the surgeon up to the time of intervention, in patients with indication of RYGB for obesity (BMI\>35 with associated comorbidity or BMI\>40 with or without comorbidity, excluding those of BMI\>50). Intervention: LRYGB type 1 (LAL-GB: 150cm ALand 70cm BPL) or type 2 (LBPL-GB: 70cm AL and 150cm BPL).The expected result is that the patients with LBPL-GB present better EWL%, and higher remission of their comorbidities than the comparison group","Laparoscopic-Roux-en-Y Gastric Bypass|Obesity|Diabetes Mellitus, Type 2|Hypertension|Dyslipidemias|Sleep Apnea"
NCT00694473,Continuous Glucose Monitoring With a Subcutaneous Sensor During Critical Illness and Surgery,"We hypothesize that measurements of interstitial fluid (ISF) glucose by the FreeStyle Navigator (Abbot Diabetes Care), a continuous glucose monitoring system, will correlate with blood glucose (BG) values in surgical and ICU patients with a clinically useful degree of accuracy.",Critical Illness
NCT00433173,Insulin Sensitivity in Men With the Metabolic Syndrome,"The metabolic syndrome is a medical condition defined by high levels of cholesterol in the blood, high blood pressure, central obesity (gain in fat around the region of the stomach), and insulin resistance (body responds less well to insulin). This state of impaired insulin resistance can lead to type 2 diabetes mellitus, which is one of the most common metabolic disorders in the U.S. Numerous studies have shown an inverse relationship between insulin resistance and testosterone levels in men, however, causality has not been established. This protocol investigates the role of testosterone in modulating insulin sensitivity in insulin resistant states such as the metabolic syndrome. The hypothesis is that testosterone administration will improve insulin sensitivity.",Metabolic Syndrome
NCT04223973,MEDTRUM A7+ TouchCare Insulin Patch Pump (MedInPS),Demonstration study of the interest of the MEDTRUM A7+ TouchCare insulin patch pump versus INSULET Omnipod® patch pump,Diabetes Mellitus
NCT03575273,The Impact of Methadone Maintenance Therapy on Food Reward Processing in Opioid Dependence,"Methadone maintenance therapy (MMT) has shown clear efficacy for relieving opioid withdrawal symptoms and reducing the morbidity and mortality of opioid dependence. A notable phenomenon associated with MMT is increased food intake, enhanced sweet preferences, and weight gain. The underlying neural mechanisms for opioid-related overconsumption are not well understood but are thought to arise from role in 1) increasing the palatability and hedonic aspects of food and 2) diminishing satiety signaling systems. In the proposed project, the investigators will examine methadone's potential role in opioid-related overconsumption of food. The investigators propose to examine eating behavior, sucrose preferences, and an event-related potential (ERP) component that is induced by appetitive motivation for highly rewarding foods in patients with a history of opioid dependence receiving methadone maintenance therapy (O+MMT) and not receiving opioid agonist therapy (O-MMT). A matched sample of obese and overweight adults without history of opioid use (HOC) will also be examined.",Opioid Dependence|Obesity
